Wavelength	1	2	3
269.509925	10.063931	10.946732	8.121769
270.27039	10.287985	2.483307	8.691573
271.030823	4.448329	6.939393	3.558663
271.791222	12.470213	10.332462	0.89073
272.551588	6.763065	8.720795	5.695213
273.31192	2.306405	10.290113	5.85472
274.07222	1.058765	7.587817	8.999503
274.832486	4.204776	5.080771	6.307164
275.592719	10.938929	3.64631	7.29262
276.352919	6.531051	4.812353	14.265189
277.113086	8.495298	5.946708	3.228213
277.873219	7.219487	8.394753	11.584758
278.633319	14.258086	4.476376	3.979001
279.393386	9.656902	3.437202	5.401318
280.153419	12.112643	5.006559	5.652566
280.913419	4.301852	2.389918	6.373114
281.673386	8.008976	4.554124	9.265286
282.433319	-1.391868	5.258166	2.629083
283.193219	7.151776	7.456107	11.260243
283.953086	7.780937	6.284603	5.087536
284.712919	4.410218	6.615326	9.408464
285.472718	6.783536	6.783536	7.072197
286.232484	10.33711	5.947378	6.230587
286.992217	8.754278	5.558272	3.05705
287.751916	7.634726	4.226366	6.271382
288.511582	6.957007	8.428682	5.351544
289.271214	6.699556	6.305465	3.678188
290.030812	2.839803	10.455638	6.841343
290.790377	5.578639	8.367959	6.846511
291.549908	4.234867	9.590727	5.978635
292.309406	8.936291	4.529353	6.243162
293.06887	4.813328	0.842332	7.941991
293.8283	7.219115	6.982423	3.668731
294.587697	6.290584	4.892677	8.154461
295.34706	5.623267	8.951323	4.590422
296.106389	2.827691	0.226215	8.369966
296.865685	6.357606	8.03066	4.796089
297.624946	3.082327	6.164654	5.394072
298.384174	6.852869	6.526542	5.221234
299.143369	5.378755	0.645451	3.119678
299.902529	5.006778	5.858996	7.030795
300.661656	2.957786	2.957786	4.014138
301.420749	6.808074	4.713282	4.818022
302.179808	5.709061	6.124265	5.709061
302.938833	7.30339	6.480473	1.748699
303.697824	5.196242	6.724549	6.418887
304.456781	5.648765	4.236574	7.767052
305.215705	8.59002	5.793269	5.893153
305.974594	7.223157	7.124209	5.639999
306.73345	7.450683	4.705694	5.195871
307.492271	6.99282	1.456837	8.643902
308.251059	7.214441	4.040087	4.52105
309.009812	7.432971	1.04824	7.337676
309.768532	6.609054	4.720752	4.626337
310.527217	6.080249	7.670469	9.541315
311.285869	7.048077	7.419028	5.935222
312.044486	6.164131	4.784101	4.23209
312.803069	7.124621	4.384382	5.206454
313.561618	6.530947	5.623871	5.986702
314.320133	5.31757	9.102958	6.308981
315.078614	2.148812	4.65576	6.446437
315.837061	7.199045	4.354978	8.26557
316.595473	5.989314	5.020455	7.13433
317.353852	7.851487	5.932235	6.891861
318.112196	5.263766	9.578329	3.624233
318.870505	8.610583	6.052984	4.859438
319.628781	8.164766	7.912248	5.134544
320.387022	10.388281	6.6485	7.811987
321.145229	9.512151	6.97011	6.806108
321.903402	7.122267	7.122267	4.370482
322.66154	6.316678	8.555501	8.155711
323.419644	6.250492	6.883453	6.962573
324.177714	7.133895	6.663528	2.587017
324.935749	9.487385	4.743692	7.85431
325.69375	6.640744	7.335705	5.096385
326.451716	8.820236	4.985351	7.056188
327.209648	8.834264	6.473383	7.76806
327.967546	6.579793	6.579793	6.882312
328.725409	0.225465	7.44033	5.786923
329.483238	-17.403131	5.601866	7.991996
330.241032	6.163887	8.763117	6.535206
330.998791	6.941524	5.021528	5.464604
331.756516	6.018185	6.75211	7.63282
332.514207	7.505455	3.206214	9.2543
333.271863	6.148003	9.25817	9.041181
334.029484	7.319051	8.969425	6.888518
334.787071	8.326486	7.970654	11.315481
335.544623	10.805602	9.251855	9.110606
336.30214	11.9234	10.169959	8.486656
337.059623	12.959308	9.196928	13.93474
337.817071	11.911043	10.94154	12.049544
338.574484	13.991268	13.50881	12.40605
339.331863	12.278639	11.661277	13.376171
340.089207	12.906905	10.721609	13.453228
340.846516	14.354066	13.197577	13.537721
341.60379	14.30752	14.036287	15.731491
342.36103	14.455775	11.280908	14.590876
343.118235	14.075816	11.516576	13.46968
343.875405	15.578232	12.019411	12.959477
344.63254	13.255407	13.3893	13.523193
345.38964	16.488374	14.018455	16.221356
346.146705	12.716083	14.447068	10.58564
346.903736	14.475603	11.819529	14.608407
347.660731	14.77889	11.597784	14.381252
348.417692	14.023249	13.163333	13.758659
349.174618	15.715092	12.149483	12.611692
349.931508	13.45227	11.935593	14.24358
350.688364	16.261393	12.903778	13.364627
351.445185	15.371963	11.561818	13.335506
352.201971	12.845693	13.370007	14.811871
352.958721	16.797404	12.091517	12.941191
353.715437	16.819407	14.146555	12.907917
354.472117	16.7845	11.514947	15.223151
355.228763	18.591773	16.056531	17.746693
355.985373	16.31869	14.303234	16.253675
356.741948	16.590937	12.622125	15.419812
357.498488	16.664704	13.800458	15.427871
358.254993	16.478624	14.329238	17.390484
359.011463	18.164295	16.66688	17.383035
359.767897	17.696551	14.638691	18.34716
360.524297	21.062284	15.731706	19.957164
361.280661	21.17031	15.845262	22.144404
362.03699	21.647876	18.212734	20.610852
362.793283	24.498446	19.262631	22.236057
363.549541	21.953682	19.957893	23.048147
364.305764	25.2436	20.117996	25.17953
365.061952	25.10499	23.320879	24.722681
365.818104	28.763284	22.997956	24.708548
366.574221	32.131377	25.012072	29.233253
367.330303	28.06449	26.122527	28.816217
368.086349	31.67731	27.756542	30.681559
368.84236	32.43597	26.999084	31.818142
369.598335	38.605329	31.00682	34.315848
370.354275	37.14329	29.314067	35.565307
371.110179	39.034547	29.726309	36.572368
371.866048	41.211004	33.313218	40.260894
372.621882	43.880186	36.07796	39.597761
